Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
39,9.88,+0.9,Ryan BAILEY,13 APR 1989,USA,2,,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1248
39,9.88,+1.0,Michael FRATER,06 OCT 1982,JAM,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2011,1248
39,9.88,0.0,Letsile TEBOGO,07 JUN 2003,BOT,2,,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1248
44,9.89,+1.6,Travis PADGETT,13 DEC 1986,USA,1qf2,,"Eugene, OR (USA)",28 JUN 2008,1245
44,9.89,+1.6,Darvis PATTON,04 DEC 1977,USA,1qf3,,"Eugene, OR (USA)",28 JUN 2008,1245
44,9.89,+1.3,Ngonidzashe MAKUSHA,11 MAR 1987,ZIM,1,,"Des Moines, IA (USA)",10 JUN 2011,1245
44,9.89,+0.2,Isiah YOUNG,05 JAN 1990,USA,1f1,,"National Training Center, Clermont, FL (USA)",30 MAY 2021,1245
44,9.89,+0.8,Kenneth BEDNAREK,14 OCT 1998,USA,4,,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1245
44,9.89,+0.1,Andre DE GRASSE,10 NOV 1994,CAN,3,,"National Stadium, Tokyo (JPN)",01 AUG 2021,1245
44,9.89,+1.0,Ackeem BLAKE,21 JAN 2002,JAM,1,,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1245
44,9.89,+1.3,Pjai AUSTIN,19 SEP 2000,USA,1sf1,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1245
44,9.89,+1.8,Courtney LINDSEY,18 NOV 1998,USA,1,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1245
44,9.89,+0.8,Issamade ASINGA,29 DEC 2004,SUR,1,,"COTP Stadium, São Paulo (BRA)",28 JUL 2023,1245
54,9.90,+0.4,Nickel ASHMEADE,07 APR 1990,JAM,1sf2,,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1241
54,9.90,+2.0,Benjamin AZAMATI,14 JAN 1998,GHA,1h1,,"Mike A. Myers Stadium, Austin, TX (USA)",25 MAR 2022,1241
54,9.90,+1.8,Elijah HALL,22 AUG 1994,USA,5,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1241
54,9.90,+1.8,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,2,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1241
54,9.90,+0.9,Cravont CHARLESTON,02 JAN 1998,USA,1,,"Kuortaneen keskusurheilukenttä, Kuortane (FIN)",17 JUN 2023,1241
54,9.90,0.0,Shainer REGINFO MONTOYA,08 APR 2002,CUB,1f1,,"Helmántico, Salamanca (ESP)",01 JUN 2024,1241
60,9.91,+1.2,Dennis MITCHELL,20 FEB 1966,USA,3,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1238
60,9.91,+0.9,Leonard SCOTT,19 JAN 1980,USA,2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",09 SEP 2006,1238
60,9.91,-0.5,Derrick ATKINS,05 JAN 1984,BAH,2,,"Yanmar Stadium Nagai, Osaka (JPN)",26 AUG 2007,1241
60,9.91,-0.2,Daniel BAILEY,09 SEP 1986,ANT,2,,"Stade de France, Paris-St-Denis (FRA)",17 JUL 2009,1239
60,9.91,+0.7,Churandy MARTINA,03 JUL 1984,NED,2sf1,,"Olympic Stadium, London (GBR)",05 AUG 2012,1238
60,9.91,+1.1,James DASAOLU,05 SEP 1987,GBR,1sf2,,Birmingham (GBR),13 JUL 2013,1238
60,9.91,+1.8,Femi OGUNODE,15 MAY 1991,QAT,1,,Wuhan (CHN),04 JUN 2015,1238
60,9.91,+1.0,Julian FORTE,07 JAN 1993,JAM,1,,"Olympiastadion, Berlin (GER)",27 AUG 2017,1238
60,9.91,+1.0,Terrence JONES,08 NOV 2002,BAH,1f1,,"Percy Beard Track, Gainesville, FL (USA)",15 APR 2023,1238
60,9.91,+1.8,Shaun MASWANGANYI,01 FEB 2001,RSA,3,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1238
60,9.91,+1.1,Rohan WATSON,29 APR 2002,JAM,1,,"National Stadium, Kingston (JAM)",07 JUL 2023,1238
71,9.92,+0.3,Andre CASON,20 JAN 1969,USA,2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1234
71,9.92,+0.8,Jon DRUMMOND,09 SEP 1968,USA,h,,"Indianapolis, IN (USA)",12 JUN 1997,1234
71,9.92,+0.2,Tim MONTGOMERY,28 JAN 1975,USA,2,,"Indianapolis, IN (USA)",13 JUN 1997,1234
71,9.92,-0.2,Seun OGUNKOYA,28 DEC 1977,NGR,2,,"SGJ, Johannesburg (RSA)",11 SEP 1998,1235
71,9.92,+1.0,Tim HARDEN,27 JAN 1974,USA,1,,Luzern (SUI),05 JUL 1999,1234
71,9.92,+2.0,Christophe LEMAITRE,11 JUN 1990,FRA,1,,Albi (FRA),29 JUL 2011,1234
71,9.92,-0.8,Kemar BAILEY-COLE,10 JAN 1992,JAM,3,,"Olympic Stadium, London (GBR)",24 JUL 2015,1238
71,9.92,+0.9,Jak Ali HARVEY,04 MAY 1989,TUR,1f2,,Erzurum (TUR),12 JUN 2016,1234
71,9.92,+1.4,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1h2,,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1234
80,9.93,+1.4,Calvin SMITH,08 JAN 1961,USA,1,,Air Force Academy (USA),03 JUL 1983,1231
80,9.93,-0.6,Michael MARSH,04 AUG 1967,USA,1f1,,"Walnut, CA (USA)",18 APR 1992,1234
80,9.93,+1.8,Patrick JOHNSON,26 SEP 1972,AUS,1,,Mito (JPN),05 MAY 2003,1231
80,9.93,+1.1,Ivory WILLIAMS,02 MAY 1985,USA,1f2,,Rethymno (GRE),20 JUL 2009,1231
80,9.93,+1.8,Kemarley BROWN,20 JUL 1992,JAM,1,,"Walnut, CA (USA)",17 MAY 2014,1231
80,9.93,+1.7,Clayton VAUGHN,15 MAY 1992,USA,1,,"Mobile, AL (USA)",08 MAY 2015,1231
80,9.93,+1.9,Kim COLLINS,05 APR 1976,SKN,1f2,,Bottrop (GER),29 MAY 2016,1231
80,9.93,+0.8,Cameron BURRELL,11 SEP 1994,USA,1sf2,,"Eugene, OR (USA)",07 JUN 2017,1231
80,9.93,+1.6,Christopher BELCHER,29 JAN 1994,USA,1sf3,,"Eugene, OR (USA)",07 JUN 2017,1231
80,9.93,+0.8,Cravon GILLESPIE,31 JUL 1996,USA,2,,"Austin, TX (USA)",07 JUN 2019,1231
80,9.93,+1.9,Arthur CISSÉ,29 DEC 1996,CIV,1,,Leverkusen (GER),24 JUL 2019,1231
80,9.93,-1.2,Reece PRESCOD,29 FEB 1996,GBR,1f1,,"Mestský Stadion, Ostrava (CZE)",31 MAY 2022,1238
80,9.93,+0.1,Eugene AMO-DADZIE,22 JUN 1992,GBR,1f,,"Stadion Eggenberg, Graz (AUT)",16 JUN 2023,1231
80,9.93,+1.6,Christian MILLER,16 MAY 2006,USA,1f1,,"National Training Center, Clermont, FL (USA)",20 APR 2024,1231
80,9.93,+2.0,Kendal WILLIAMS,23 SEP 1995,USA,1f1,,"National Training Center, Clermont, FL (USA)",11 MAY 2024,1231
95,9.94,+0.2,Davidson EZINWA,22 NOV 1971,NGR,1,,Linz (AUT),04 JUL 1994,1227
95,9.94,-0.2,Bernard WILLIAMS,19 JAN 1978,USA,2,,"Commonwealth Stadium, Edmonton (CAN)",05 AUG 2001,1228
95,9.94,+1.7,Diondre BATSON,13 JUL 1992,USA,2h2,,"Hayward Field, Eugene, OR (USA)",25 JUN 2015,1227
95,9.94,+1.4,Andrew FISHER,15 DEC 1991,JAM,2,,"Moratalaz, Madrid (ESP)",11 JUL 2015,1227
95,9.94,+1.0,Ameer WEBB,19 MAR 1991,USA,2f1,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1227
95,9.94,+0.9,Wayde VAN NIEKERK,15 JUL 1992,RSA,1f3,,Velenje (SLO),20 JUN 2017,1227
